Release Year,Case,Region,Division,Sector,Year,Natural Gas,Distillate Oil,Electricity,Propane,Residual Fuel Oil,Coal
2023,ref,Midwest,East North Central,Commercial,2023,1,1,1,1,1,
2023,ref,Midwest,East North Central,Commercial,2024,0.87985943271286,0.923801157022933,0.967898355544697,0.929920493337881,1.22346010110193,
2023,ref,Midwest,East North Central,Commercial,2025,0.814870723194237,0.831148644082037,0.928223569662941,0.855288707622858,1.26665146336878,
2023,ref,Midwest,East North Central,Commercial,2026,0.763644649963318,0.778512170873616,0.908326133498463,0.815399972327974,1.39770517518205,
2023,ref,Midwest,East North Central,Commercial,2027,0.733919612619508,0.727246503156757,0.881768398055184,0.793491777614254,1.5848491689035,
2023,ref,Midwest,East North Central,Commercial,2028,0.719938894834962,0.681261403387536,0.867528563925493,0.788759634442578,1.76254400481575,
2023,ref,Midwest,East North Central,Commercial,2029,0.723954770321014,0.684632135839427,0.860480869413149,0.792717373906122,1.76641673677647,
2023,ref,Midwest,East North Central,Commercial,2030,0.730415593462213,0.683752760302373,0.854859313563187,0.80375581546816,1.77797214201113,
2023,ref,Midwest,East North Central,Commercial,2031,0.740229684279394,0.689970762730908,0.850996296587199,0.818276785935905,1.79262663165799,
2023,ref,Midwest,East North Central,Commercial,2032,0.746612167465417,0.692935117093706,0.849654747848114,0.836655400391822,1.80596328814461,
2023,ref,Midwest,East North Central,Commercial,2033,0.759622634318617,0.69709037016132,0.849489039544198,0.857115328573318,1.81813273198127,
2023,ref,Midwest,East North Central,Commercial,2034,0.771169308522858,0.6990389691493,0.856280823501997,0.874112487797321,1.83151137730579,
2023,ref,Midwest,East North Central,Commercial,2035,0.781262988288177,0.704374420402948,0.851260596703221,0.884250394014582,1.84622724513161,
2023,ref,Midwest,East North Central,Commercial,2036,0.78517681010289,0.705659759815465,0.851180751221585,0.89041031491972,1.85789359335082,
2023,ref,Midwest,East North Central,Commercial,2037,0.792579300678276,0.709966269893731,0.852946985348499,0.897371080611235,1.86944257827387,
2023,ref,Midwest,East North Central,Commercial,2038,0.803691823320111,0.71297387506309,0.85558518420801,0.910367579172707,1.88291611580393,
2023,ref,Midwest,East North Central,Commercial,2039,0.8035781245203,0.714673117445649,0.862909647460502,0.911089829574901,1.8928596376068,
2023,ref,Midwest,East North Central,Commercial,2040,0.811667148351526,0.716599521486607,0.868589872381752,0.921949945702659,1.90378302736696,
